Experiment: JA_20200121_tRPS3-200bp-n=1  Selected Filter: SYBR Green I / HRM Dye (465-510)
Include	Color	Pos	Name	Group	Score	Res	Status
True	151	A1	Sample 1	Unknown	0.59	0.26	
True	151	A2	Sample 2	Unknown	0.63	0.31	
True	151	A3	Sample 3	Unknown	0.58	0.35	
True	151	A4	Sample 4	Unknown	0.56	0.25	
True	151	A5	Sample 5	Unknown	0.6	0.3	
True	151	A6	Sample 6	Unknown	0.55	0.22	
True	151	A7	Sample 7	Unknown	0.63	0.31	
True	151	A8	Sample 8	Unknown	0.65	0.37	
True	151	A9	Sample 9	Unknown	0.59	0.28	
True	151	A10	Sample 10	Unknown	0.59	0.27	
True	151	A11	Sample 11	Unknown	0.56	0.22	
True	151	A12	Sample 12	Unknown	0.59	0.29	
True	151	A13	Sample 13	Unknown	0.6	0.3	
True	151	A14	Sample 14	Unknown	0.6	0.36	
True	151	A15	Sample 15	Unknown	0.49	0.34	
True	151	A16	Sample 16	Unknown	0.59	0.26	
True	151	A17	Sample 17	Unknown	0.62	0.29	
True	151	A18	Sample 18	Unknown	0.55	0.22	
True	151	A19	Sample 19	Unknown	0.42	0.28	
True	151	A20	Sample 20	Unknown	0.47	0.18	
True	151	A21	Sample 21	Unknown	0.49	0.15	
True	3200768	A22	Sample 22	3	0.96	0.44	
True	3200768	A23	Sample 23	3	0.99	0.57	
True	3200768	A24	Sample 24	3	0.99	0.5	
True	16744448	B1	Sample 25	1	0.85	0.81	
True	16744448	B2	Sample 26	1	0.83	0.8	
True	16744448	B3	Sample 27	1	0.7	0.68	
True	151	B4	Sample 28	Unknown	0.63	0.61	
True	151	B5	Sample 29	Unknown	0.54	0.53	
True	151	B6	Sample 30	Unknown	0.58	0.57	
True	151	B7	Sample 31	Unknown	0.64	0.63	
True	151	B8	Sample 32	Unknown	0.59	0.58	
True	151	B9	Sample 33	Unknown	0.56	0.55	
True	151	B10	Sample 34	Unknown	0.56	0.55	
True	151	B11	Sample 35	Unknown	0.54	0.53	
True	151	B12	Sample 36	Unknown	0.67	0.65	
True	151	B13	Sample 37	Unknown	0.59	0.58	
True	151	B14	Sample 38	Unknown	0.5	0.49	
True	151	B15	Sample 39	Unknown	0.53	0.52	
True	151	B16	Sample 40	Unknown	0.65	0.63	
True	151	B17	Sample 41	Unknown	0.63	0.62	
True	16744448	B18	Sample 42	1	0.76	0.72	
True	151	B19	Sample 43	Unknown	0.6	0.58	
True	151	B20	Sample 44	Unknown	0.64	0.58	
True	151	B21	Sample 45	Unknown	0.59	0.58	
True	151	B22	Sample 46	Unknown	0.62	0.6	
True	16744448	B23	Sample 47	1	0.7	0.68	
True	151	B24	Sample 48	Unknown	0.57	0.56	
True	16744448	C1	Sample 49	1	0.97	0.89	
True	16744448	C2	Sample 50	1	0.98	0.93	
True	16744448	C3	Sample 51	1	0.92	0.89	
True	16744448	C4	Sample 52	1	0.96	0.92	
True	16744448	C5	Sample 53	1	0.9	0.87	
True	16744448	C6	Sample 54	1	0.95	0.9	
True	16744448	C7	Sample 55	1	0.92	0.88	
True	16744448	C8	Sample 56	1	0.92	0.89	
True	16744448	C9	Sample 57	1	0.94	0.91	
True	16744448	C10	Sample 58	1	0.93	0.9	
True	16744448	C11	Sample 59	1	0.95	0.91	
True	16744448	C12	Sample 60	1	0.91	0.88	
True	16744448	C13	Sample 61	1	0.91	0.88	
True	16744448	C14	Sample 62	1	0.93	0.9	
True	16744448	C15	Sample 63	1	0.95	0.91	
True	16744448	C16	Sample 64	1	0.97	0.92	
True	16744448	C17	Sample 65	1	0.97	0.93	
True	16744448	C18	Sample 66	1	0.97	0.92	
True	16744448	C19	Sample 67	1	0.96	0.92	
True	16744448	C20	Sample 68	1	0.94	0.88	
True	16744448	C21	Sample 69	1	0.94	0.9	
True	16744448	C22	Sample 70	1	0.95	0.92	
True	16744448	C23	Sample 71	1	0.94	0.89	
True	16744448	C24	Sample 72	1	0.82	0.8	
True	16744448	D1	Sample 73	1	0.97	0.88	
True	16744448	D2	Sample 74	1	0.95	0.9	
True	16744448	D3	Sample 75	1	0.96	0.9	
True	16744448	D4	Sample 76	1	0.95	0.87	
True	16744448	D5	Sample 77	1	0.93	0.88	
True	16744448	D6	Sample 78	1	0.96	0.88	
True	16744448	D7	Sample 79	1	0.98	0.91	
True	16744448	D8	Sample 80	1	0.95	0.89	
True	16744448	D9	Sample 81	1	0.94	0.88	
True	16744448	D10	Sample 82	1	0.96	0.9	
True	16744448	D11	Sample 83	1	0.97	0.91	
True	16744448	D12	Sample 84	1	0.99	0.91	
True	16744448	D13	Sample 85	1	0.96	0.91	
True	16744448	D14	Sample 86	1	0.96	0.89	
True	16744448	D15	Sample 87	1	0.96	0.89	
True	16744448	D16	Sample 88	1	0.96	0.89	
True	16744448	D17	Sample 89	1	0.96	0.88	
True	16744448	D18	Sample 90	1	0.97	0.87	
True	16744448	D19	Sample 91	1	0.92	0.88	
True	16744448	D20	Sample 92	1	0.94	0.82	
True	16744448	D21	Sample 93	1	0.95	0.89	
True	16744448	D22	Sample 94	1	0.95	0.87	
True	16744448	D23	Sample 95	1	0.99	0.92	
True	16744448	D24	Sample 96	1	0.84	0.81	
True	151	E1	Sample 97	Unknown	0.53	0.37	
True	151	E2	Sample 98	Unknown	0.6	0.41	
True	151	E3	Sample 99	Unknown	0.66	0.45	
True	151	E4	Sample 100	Unknown	0.69	0.45	
True	151	E5	Sample 101	Unknown	0.68	0.46	
True	151	E6	Sample 102	Unknown	0.68	0.44	
True	151	E7	Sample 103	Unknown	0.67	0.42	
True	151	E8	Sample 104	Unknown	0.66	0.42	
True	151	E9	Sample 105	Unknown	0.63	0.43	
True	151	E10	Sample 106	Unknown	0.65	0.34	
True	151	E11	Sample 107	Unknown	0.66	0.36	
True	151	E12	Sample 108	Unknown	0.63	0.32	
True	151	E13	Sample 109	Unknown	0.66	0.46	
True	151	E14	Sample 110	Unknown	0.64	0.4	
True	151	E15	Sample 111	Unknown	0.61	0.38	
True	151	E16	Sample 112	Unknown	0.6	0.38	
True	151	E17	Sample 113	Unknown	0.58	0.34	
True	151	E18	Sample 114	Unknown	0.59	0.34	
True	151	E19	Sample 115	Unknown	0.6	0.3	
True	151	E20	Sample 116	Unknown	0.55	0.17	
True	151	E21	Sample 117	Unknown	0.59	0.32	
True	3200768	E22	Sample 118	3	1	0.55	
True	3200768	E23	Sample 119	3	0.99	0.53	
True	3200768	E24	Sample 120	3	0.98	0.44	
True	151	F1	Sample 121	Unknown	0.63	0.61	
True	151	F2	Sample 122	Unknown	0.63	0.61	
True	151	F3	Sample 123	Unknown	0.67	0.65	
True	151	F4	Sample 124	Unknown	0.66	0.65	
True	16744448	F5	Sample 125	1	0.7	0.68	
True	151	F6	Sample 126	Unknown	0.68	0.66	
True	16744448	F7	Sample 127	1	0.77	0.75	
True	151	F8	Sample 128	Unknown	0.65	0.63	
True	151	F9	Sample 129	Unknown	0.63	0.61	
True	16744448	F10	Sample 130	1	0.7	0.68	
True	16744448	F11	Sample 131	1	0.76	0.73	
True	16744448	F12	Sample 132	1	0.76	0.73	
True	16744448	F13	Sample 133	1	0.72	0.69	
True	151	F14	Sample 134	Unknown	0.66	0.65	
True	151	F15	Sample 135	Unknown	0.63	0.62	
True	151	F16	Sample 136	Unknown	0.68	0.66	
True	16744448	F17	Sample 137	1	0.71	0.69	
True	151	F18	Sample 138	Unknown	0.66	0.65	
True	151	F19	Sample 139	Unknown	0.68	0.66	
True	151	F20	Sample 140	Unknown	0.67	0.63	
True	151	F21	Sample 141	Unknown	0.69	0.67	
True	151	F22	Sample 142	Unknown	0.66	0.65	
